attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
bim,,,500,0.1,0.1,,,,,,,,,
bim,,,500,0.1,0.3,,,,,,,,,
bim,,,500,0.1,0.5,,,,,,,,,
bim,,,500,0.1,0.7,,,,,,,,,
bim,,,500,0.1,0.9,,,,,,,,,
bim,,,500,0.1,0.01,,,,,,,,,
bim,,,500,0.1,0.03,,,,,,,,,
bim,,,500,0.1,0.05,,,,,,,,,
bim,,,500,0.1,0.07,,,,,,,,,
bim,,,500,0.1,0.09,,,,,,,,,
bim,,,500,0.1,1,,,,,,,,,
bim,,,500,0.1,3,,,,,,,,,
bim,,,500,0.1,5,,,,,,,,,
bim,,,500,0.1,7,,,,,,,,,
bim,,,500,0.1,9,,,,,,,,,
bim,,,500,0.1,0.1,,,,,,,,,
bim,,,500,0.01,0.1,,,,,,,,,
bim,,,500,0.03,0.1,,,,,,,,,
bim,,,500,0.05,0.1,,,,,,,,,
bim,,,500,0.07,0.1,,,,,,,,,
bim,,,500,0.09,0.1,,,,,,,,,
bim,,,500,1,0.1,,,,,,,,,
bim,,,500,3,0.1,,,,,,,,,
bim,,,500,5,0.1,,,,,,,,,
bim,,,500,7,0.1,,,,,,,,,
bim,,,500,9,0.1,,,,,,,,,
fgm,,,500,0.01,,,,,,,,,,
fgm,,,500,0.03,,,,,,,,,,
fgm,,,500,0.05,,,,,,,,,,
fgm,,,500,0.07,,,,,,,,,,
fgm,,,500,0.09,,,,,,,,,,
fgm,,,500,1,,,,,,,,,,
fgm,,,500,3,,,,,,,,,,
fgm,,,500,5,,,,,,,,,,
fgm,,,500,7,,,,,,,,,,
fgm,,,500,9,,,,,,,,,,
deep,,100.0,500,10.0,,,,,,,,,,
deep,,100.0,500,8.0,,,,,,,,,,
deep,,100.0,500,6.0,,,,,,,,,,
deep,,100.0,500,4.0,,,,,,,,,,
deep,,100.0,500,2.0,,,,,,,,,,
deep,,100.0,500,0.0,,,,,,,,,,
deep,,10.0,500,5.0,,,,,,,,,,
deep,,30.0,500,5.0,,,,,,,,,,
deep,,50.0,500,5.0,,,,,,,,,,
deep,,70.0,500,5.0,,,,,,,,,,
deep,,90.0,500,5.0,,,,,,,,,,
deep,,100.0,500,5.0,,,,,,,,,,
deep,,150.0,500,5.0,,,,,,,,,,
deep,,200.0,500,5.0,,,,,,,,,,
deep,,300.0,500,5.0,,,,,,,,,,
