attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
elastic,0,10.0,500,,,,,,,,,,,
elastic,0,30.0,500,,,,,,,,,,,
elastic,0,50.0,500,,,,,,,,,,,
elastic,0,70.0,500,,,,,,,,,,,
elastic,0,90.0,500,,,,,,,,,,,
elastic,0,100.0,500,,,,,,,,,,,
elastic,0,150.0,500,,,,,,,,,,,
elastic,0,200.0,500,,,,,,,,,,,
elastic,0,300.0,500,,,,,,,,,,,
elastic,0.5,10.0,500,,,,,,,,,,,
elastic,0.5,30.0,500,,,,,,,,,,,
elastic,0.5,50.0,500,,,,,,,,,,,
elastic,0.5,70.0,500,,,,,,,,,,,
elastic,0.5,90.0,500,,,,,,,,,,,
elastic,0.5,100.0,500,,,,,,,,,,,
elastic,0.5,150.0,500,,,,,,,,,,,
elastic,0.5,200.0,500,,,,,,,,,,,
elastic,0.5,300.0,500,,,,,,,,,,,
elastic,1,10.0,500,,,,,,,,,,,
elastic,1,30.0,500,,,,,,,,,,,
elastic,1,50.0,500,,,,,,,,,,,
elastic,1,70.0,500,,,,,,,,,,,
elastic,1,90.0,500,,,,,,,,,,,
elastic,1,100.0,500,,,,,,,,,,,
elastic,1,150.0,500,,,,,,,,,,,
elastic,1,200.0,500,,,,,,,,,,,
elastic,1,300.0,500,,,,,,,,,,,
