attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
boundary,,5000,500,0.01,,0.01,,,,,,,,25
boundary,,4500,500,0.01,,0.01,,,,,,,,25
boundary,,4000,500,0.01,,0.01,,,,,,,,25
boundary,,3500,500,0.01,,0.01,,,,,,,,25
boundary,,3000,500,0.01,,0.01,,,,,,,,25
boundary,,2500,500,0.01,,0.01,,,,,,,,25
boundary,,2000,500,0.01,,0.01,,,,,,,,25
boundary,,1500,500,0.01,,0.01,,,,,,,,25
boundary,,1000,500,0.01,,0.01,,,,,,,,25
boundary,,500,500,0.01,,0.01,,,,,,,,25
boundary,,5000,500,0.01,,0.01,,,,,,,,25
boundary,,4500,500,0.03,,0.01,,,,,,,,25
boundary,,4000,500,0.05,,0.01,,,,,,,,25
boundary,,3500,500,0.07,,0.01,,,,,,,,25
boundary,,3000,500,0.09,,0.01,,,,,,,,25
boundary,,2500,500,0.1,,0.01,,,,,,,,25
boundary,,2000,500,0.3,,0.01,,,,,,,,25
boundary,,1500,500,0.5,,0.01,,,,,,,,25
boundary,,1000,500,0.7,,0.01,,,,,,,,25
boundary,,500,500,0.9,,0.01,,,,,,,,25
boundary,,5000,500,0.001,,0.01,,,,,,,,25
boundary,,5000,500,0.003,,0.01,,,,,,,,25
boundary,,5000,500,0.005,,0.01,,,,,,,,25
boundary,,5000,500,0.007,,0.01,,,,,,,,25
boundary,,5000,500,0.009,,0.01,,,,,,,,25
boundary,,5000,500,0.01,,0.01,,,,,,,,25
boundary,,5000,500,0.01,,0.03,,,,,,,,25
boundary,,5000,500,0.02,,0.05,,,,,,,,25
boundary,,5000,500,0.02,,0.07,,,,,,,,25
boundary,,5000,500,0.03,,0.09,,,,,,,,25
boundary,,5000,500,0.03,,0.1,,,,,,,,25
boundary,,5000,500,0.04,,0.3,,,,,,,,25
boundary,,5000,500,0.04,,0.5,,,,,,,,25
boundary,,5000,500,0.05,,0.7,,,,,,,,25
boundary,,5000,500,0.05,,0.9,,,,,,,,25
boundary,,5000,500,0.06,,0.001,,,,,,,,25
boundary,,5000,500,0.06,,0.003,,,,,,,,25
boundary,,5000,500,0.07,,0.005,,,,,,,,25
boundary,,5000,500,0.07,,0.007,,,,,,,,25
boundary,,5000,500,0.08,,0.009,,,,,,,,25
