attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
elastic,0,10.0,500,,,,,,,,,,,
elastic,0,30.0,500,,,,,,,,,,,
elastic,0,50.0,500,,,,,,,,,,,
elastic,0,70.0,500,,,,,,,,,,,
elastic,1,10.0,500,,,,,,,,,,,
elastic,1,30.0,500,,,,,,,,,,,
elastic,1,50.0,500,,,,,,,,,,,
elastic,1,70.0,500,,,,,,,,,,,
elastic,1,90.0,500,,,,,,,,,,,
elastic,3,10.0,500,,,,,,,,,,,
elastic,3,30.0,500,,,,,,,,,,,
elastic,3,50.0,500,,,,,,,,,,,
elastic,3,70.0,500,,,,,,,,,,,
elastic,3,90.0,500,,,,,,,,,,,
elastic,5,10.0,500,,,,,,,,,,,
elastic,5,30.0,500,,,,,,,,,,,
elastic,5,50.0,500,,,,,,,,,,,
elastic,5,70.0,500,,,,,,,,,,,
elastic,5,90.0,500,,,,,,,,,,,
elastic,7,10.0,500,,,,,,,,,,,
elastic,7,30.0,500,,,,,,,,,,,
elastic,7,50.0,500,,,,,,,,,,,
elastic,7,70.0,500,,,,,,,,,,,
elastic,7,90.0,500,,,,,,,,,,,
elastic,10,10.0,500,,,,,,,,,,,
elastic,10,30.0,500,,,,,,,,,,,
elastic,10,50.0,500,,,,,,,,,,,
elastic,10,70.0,500,,,,,,,,,,,
elastic,10,90.0,500,,,,,,,,,,,
elastic,20,10.0,500,,,,,,,,,,,
elastic,20,30.0,500,,,,,,,,,,,
elastic,20,50.0,500,,,,,,,,,,,
elastic,20,70.0,500,,,,,,,,,,,
elastic,20,90.0,500,,,,,,,,,,,
elastic,50,10.0,500,,,,,,,,,,,
elastic,50,30.0,500,,,,,,,,,,,
elastic,50,50.0,500,,,,,,,,,,,
elastic,50,70.0,500,,,,,,,,,,,
elastic,50,90.0,500,,,,,,,,,,,
