attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
pgd,,100.0,500,0.1,,,,,,,,,,
pgd,,100.0,500,0.03,,,,,,,,,,
pgd,,100.0,500,0.05,,,,,,,,,,
pgd,,100.0,500,0.07,,,,,,,,,,
pgd,,100.0,500,0.09,,,,,,,,,,
pgd,,100.0,500,1,,,,,,,,,,
pgd,,100.0,500,3,,,,,,,,,,
pgd,,100.0,500,5,,,,,,,,,,
pgd,,100.0,500,7,,,,,,,,,,
pgd,,100.0,500,9,,,,,,,,,,
pgd,,10.0,500,0.1,,,,,,,,,,
pgd,,30.0,500,0.1,,,,,,,,,,
pgd,,50.0,500,0.1,,,,,,,,,,
pgd,,70.0,500,0.1,,,,,,,,,,
pgd,,90.0,500,0.1,,,,,,,,,,
pgd,,100.0,500,0.1,,,,,,,,,,
pgd,,150.0,500,0.1,,,,,,,,,,
pgd,,200.0,500,0.1,,,,,,,,,,
pgd,,300.0,500,0.1,,,,,,,,,,
