attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,sample_size,num_trial
zoo,10,100,500,,,,,,,,,,,,
zoo,9,100,500,,,,,,,,,,,,
zoo,8,100,500,,,,,,,,,,,,
zoo,7,100,500,,,,,,,,,,,,
zoo,6,100,500,,,,,,,,,,,,
zoo,5,100,500,,,,,,,,,,,,
zoo,4,100,500,,,,,,,,,,,,
zoo,3,100,500,,,,,,,,,,,,
zoo,2,100,500,,,,,,,,,,,,
zoo,1,100,500,,,,,,,,,,,,
zoo,10,10,500,,,,,,,,,,,,
zoo,10,20,500,,,,,,,,,,,,
zoo,10,30,500,,,,,,,,,,,,
zoo,10,40,500,,,,,,,,,,,,
zoo,10,50,500,,,,,,,,,,,,
zoo,10,60,500,,,,,,,,,,,,
zoo,10,70,500,,,,,,,,,,,,
zoo,10,80,500,,,,,,,,,,,,
zoo,10,90,500,,,,,,,,,,,,
zoo,10,100,500,,,,,,,,,,,,
zoo,10,110,500,,,,,,,,,,,,
zoo,10,120,500,,,,,,,,,,,,
zoo,10,130,500,,,,,,,,,,,,
zoo,10,140,500,,,,,,,,,,,,
zoo,10,150,500,,,,,,,,,,,,
zoo,10,160,500,,,,,,,,,,,,
zoo,10,170,500,,,,,,,,,,,,
zoo,10,180,500,,,,,,,,,,,,
zoo,10,190,500,,,,,,,,,,,,
zoo,10,200,500,,,,,,,,,,,,
