attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
hopskip,True,,50,500,,,,,,,,20000,100,100,,hopskipnan5020000100100_succ,,cifar,conv12,100,85,85,1.0,10.149332575798034,0.1638321891322366,6.508325312527663,0.0186525204346322,1.3209479122334374e-05,0.9999324171935206,363.4440675972925,0.0059661421096034,0.9852218257757104,0.9984610827852416,52.256489936691686,48.05433765970317,0.2235294117647059,0.27058823529411763
hopskip,True,,50,500,,,,,,,,18000,100,100,,hopskipnan5018000100100_succ,,cifar,conv12,100,85,85,1.0,8.820846710205078,0.1653790828612568,6.557418381996327,0.0196060885268992,1.3574447270243514e-05,0.9999235444033984,374.27833753665993,0.0061912235578762,0.9853917976659138,0.9984247228523018,53.81192249780594,48.00356638045962,0.24705882352941178,0.27058823529411763
hopskip,True,,50,500,,,,,,,,12000,100,100,,hopskipnan5012000100100_succ,,cifar,conv12,100,85,85,1.0,8.466479947566986,0.1590752174883286,6.339218909735953,0.018492522988868,1.2808286082583394e-05,0.9999334163580396,352.6424551377615,0.0058168381726855,0.9852784684872716,0.9985303053904434,50.71340700972692,48.50136883644981,0.2235294117647059,0.23529411764705882
hopskip,True,,50,500,,,,,,,,10000,100,100,,hopskipnan5010000100100_succ,,cifar,conv12,100,85,85,1.0,8.56786290884018,0.1581420798897233,6.294049955822547,0.0184964889909259,1.2954158567689398e-05,0.999931309083446,354.5970056917599,0.0058362037828785,0.9866315655299184,0.9985825468561116,50.97876827616435,48.5733019276718,0.2235294117647059,0.2823529411764706
hopskip,True,,50,500,,,,,,,,8000,100,100,,hopskipnan508000100100_succ,,cifar,conv12,100,85,85,1.0,8.77597795009613,0.1666357128034111,6.60235654210732,0.0199062973970704,1.3947297095527542e-05,0.9999255270544556,369.6197197993624,0.0061485063896091,0.9862286083826892,0.9983943544799522,53.162559974397375,48.08335722359514,0.24705882352941178,0.27058823529411763
hopskip,True,,50,500,,,,,,,,4000,100,100,,hopskipnan504000100100_succ,,cifar,conv12,100,85,85,1.0,8.774929897785187,0.1632271157878833,6.502923928991658,0.0188904342306251,1.2930163395597194e-05,0.9999259632808124,366.0486269322975,0.0060695624503625,0.9854918818041388,0.9984263422519006,52.62198804332938,48.24728136041031,0.2235294117647059,0.2823529411764706
hopskip,True,,50,500,,,,,,,,1000,100,100,,hopskipnan501000100100_succ,,cifar,conv12,100,85,85,1.0,8.760839037895202,0.1561334416641544,6.209814757344091,0.0178446859006169,1.2306773801940084e-05,0.9999380736580624,345.3125171617612,0.005691950241449,0.9854588388005574,0.9985404017794396,49.6648002380375,48.48015071331152,0.2,0.23529411764705882
hopskip,True,,50,500,,,,,,,,500,100,100,,hopskipnan50500100100_succ,,cifar,conv12,100,85,85,1.0,8.242871091365814,0.168055836598322,6.72890935682587,0.0193342757828301,1.3996059827055834e-05,0.9999225972125054,373.8587239494223,0.0062124503325114,0.9831092023525856,0.9983456878093055,53.73988179624863,48.0326112120552,0.2,0.27058823529411763
hopskip,True,,50,500,,,,,,,,100,100,100,,hopskipnan50100100100_succ,,cifar,conv12,100,85,85,1.0,5.490447635650635,0.2197239077888508,9.405083487959947,0.0207385835004272,2.442628256324124e-05,0.9998774315198532,478.39915454382856,0.0081435684720094,0.974400721918772,0.9968617199972204,68.84488275338694,46.39210973942436,0.21176470588235294,0.27058823529411763
hopskip,True,,50,500,,,,,,,,10000,20,100,,hopskipnan501000020100_succ,,cifar,conv12,100,85,85,1.0,6.036997368335724,0.2313814732445147,9.93053402003946,0.0218760279919243,2.804044343191352e-05,0.9998659392592444,501.27695455957,0.0085751582410702,0.9734504401103946,0.9965114406837158,72.1147699187742,46.15118884333677,0.21176470588235294,0.25882352941176473
hopskip,True,,50,500,,,,,,,,10000,40,100,,hopskipnan501000040100_succ,,cifar,conv12,100,85,85,1.0,42.294054515361786,0.1887772980319743,7.870466557713597,0.0197764360737119,1.826872449372728e-05,0.999890226085274,429.0016494406471,0.0071722486775281,0.9799363141706012,0.9974135865849092,61.66354385354069,47.22688161532184,0.2235294117647059,0.25882352941176473
