attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
pgd,True,,100.0,500,0.1,,,,,,,,,,,pgd0.1100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.2696657109260559,4.154611954969519,209.69660159840305,0.1000000238418579,0.0056254623907099,0.9781139594523838,8635.28651505141,0.1546451245129937,0.5013413341158968,0.9414720673046284,1242.9092917570115,22.323693242181516,1.0,1.0
pgd,True,,100.0,500,0.03,,,,,,,,,,,pgd0.03100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.091153450012207,1.4054726923213283,73.5778642093434,0.0300000011920928,0.000643564270643,0.9968333657173556,2951.523285954462,0.0529064847417929,0.807623548878082,0.9831282337764562,424.9766278623135,30.832415375758423,1.0,1.0
pgd,True,,100.0,500,0.05,,,,,,,,,,,pgd0.05100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0901796078681945,2.247227935230031,115.82758492862476,0.0500000119209289,0.001645483920086,0.992644243819855,4702.8313106124415,0.084435072294966,0.694189406836489,0.9690508619423884,677.0549867730311,27.26849974154952,1.0,1.0
pgd,True,,100.0,500,0.07,,,,,,,,,,,pgd0.07100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0930444169044494,3.016252436357386,153.69372145708869,0.070000022649765,0.0029643684761533,0.9876294672908752,6286.6772889002,0.1129399747359867,0.604830124679793,0.9573532318594342,904.7855436516188,24.93734163079069,1.0,1.0
pgd,True,,100.0,500,0.09,,,,,,,,,,,pgd0.09100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0905654072761535,3.771782266392427,190.59825349695544,0.090000033378601,0.0046358092981858,0.9815694181273688,7856.181660240559,0.1407554698475688,0.5313767626870952,0.93986469228236,1130.9549269725703,23.158890101857217,1.0,1.0
pgd,True,,100.0,500,1.0,,,,,,,,,,,pgd1.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0943300199508667,25.609962665333462,1197.2544232536766,0.9697055893785812,0.2148264278714869,0.6254636837786145,54451.74599098373,0.7749631914414328,0.0174198741857095,0.0883748091226946,7848.527801660593,6.77773782274937,1.0,1.0
pgd,True,,100.0,500,3.0,,,,,,,,,,,pgd3.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0956962823867797,25.72541986353257,1205.1992647058823,0.9715801631703096,0.2168162517999541,0.6219888990351027,54643.20668002788,0.7777299287888682,0.0040952584829426,0.0794745148991067,7878.074735747568,6.736376920942798,1.0,1.0
pgd,True,,100.0,500,5.0,,,,,,,,,,,pgd5.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0951557540893554,25.882623919318704,1212.6951933019302,0.9702858966939588,0.2194646363356641,0.6169646554483373,55338.77610172168,0.7824634705069998,-0.0001133958141742,0.0696224409820703,7980.050891340778,6.67484788670524,1.0,1.0
pgd,True,,100.0,500,7.0,,,,,,,,,,,pgd7.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0971723842620849,25.86971971848432,1212.4739013671874,0.9706591529004714,0.2191757812342525,0.6189457868935405,54956.819872313725,0.7825044181909334,0.0035630212025347,0.0712218293618871,7927.502415478622,6.690894619241201,1.0,1.0
pgd,True,,100.0,500,9.0,,,,,,,,,,,pgd9.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.0990749645233154,25.75543087230009,1206.1469669117646,0.9729214962790994,0.2173821485313592,0.6208086021376072,54933.09298772616,0.7806363258817567,0.0037451182754404,0.0711694133327995,7920.058252348311,6.754694475055719,1.0,1.0
